Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_002.dat /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_001.dat
  1.123230e+00   1.325821e-02   1.096403e-04
  1.128116e+00   1.300979e-02   1.091267e-04
  1.133002e+00   1.292408e-02   1.093810e-04
  1.137887e+00   1.299327e-02   1.093250e-04
  1.142773e+00   1.256479e-02   1.087557e-04
  1.147659e+00   1.271814e-02   1.069695e-04
  1.152545e+00   1.241532e-02   1.064655e-04
  1.157430e+00   1.215877e-02   1.056633e-04
  1.162316e+00   1.240610e-02   1.047118e-04
  1.167202e+00   1.215087e-02   1.042872e-04
  1.172087e+00   1.208161e-02   1.048010e-04
  1.176973e+00   1.214713e-02   1.038055e-04
  1.181859e+00   1.204696e-02   1.030397e-04
  1.186745e+00   1.186248e-02   1.028366e-04
  1.191630e+00   1.176666e-02   1.028832e-04
  1.196516e+00   1.164628e-02   1.019648e-04
  1.201402e+00   1.145643e-02   1.015663e-04
  1.206288e+00   1.160202e-02   1.017552e-04
  1.211173e+00   1.146392e-02   1.011092e-04
  1.216059e+00   1.136601e-02   1.003450e-04
  1.220945e+00   1.122896e-02   9.969849e-05
  1.225830e+00   1.122343e-02   1.005240e-04
  1.230716e+00   1.101946e-02   9.974986e-05
  1.235602e+00   1.102684e-02   9.923146e-05
  1.240488e+00   1.100558e-02   9.855410e-05
  1.245373e+00   1.073924e-02   9.900253e-05
  1.250259e+00   1.078429e-02   9.809530e-05
  1.255145e+00   1.065221e-02   9.749121e-05
  1.260030e+00   1.055802e-02   9.773925e-05
  1.264916e+00   1.042555e-02   9.787260e-05
  1.269802e+00   1.040449e-02   9.688417e-05
  1.274688e+00   1.028919e-02   9.651844e-05
  1.279573e+00   1.040085e-02   9.675093e-05
  1.284459e+00   1.022640e-02   9.625083e-05
  1.289345e+00   1.030730e-02   9.572763e-05
  1.294231e+00   9.862130e-03   9.555900e-05
  1.299116e+00   9.942320e-03   9.557763e-05
  1.304002e+00   9.849730e-03   9.464083e-05
  1.308888e+00   9.860790e-03   9.476136e-05
  1.313773e+00   9.807340e-03   9.612775e-05
  1.318659e+00   9.734420e-03   9.656541e-05
  1.323545e+00   9.609280e-03   9.644679e-05
  1.328431e+00   9.556100e-03   9.633335e-05
  1.333316e+00   9.503340e-03   9.683875e-05
  1.338202e+00   9.305150e-03   9.665126e-05
  1.343088e+00   9.292920e-03   9.632677e-05
  1.347973e+00   9.177310e-03   9.648786e-05
  1.352859e+00   9.396580e-03   9.679610e-05
  1.357745e+00   9.070960e-03   9.616530e-05
  1.362631e+00   8.997260e-03   9.644450e-05
  1.367516e+00   9.130040e-03   9.636778e-05
  1.372402e+00   8.908540e-03   9.669659e-05
  1.377288e+00   8.885250e-03   9.537746e-05
  1.382174e+00   8.961260e-03   9.417449e-05
  1.387059e+00   8.926120e-03   9.389957e-05
  1.391945e+00   8.748760e-03   9.342332e-05
  1.396831e+00   8.476040e-03   9.271186e-05
  1.401716e+00   8.692220e-03   9.226741e-05
  1.406602e+00   8.363400e-03   9.254239e-05
  1.411488e+00   8.339780e-03   9.220651e-05
  1.416374e+00   8.373480e-03   9.127774e-05
  1.421259e+00   8.354410e-03   9.108235e-05
  1.426145e+00   8.330110e-03   9.130079e-05
  1.431031e+00   8.182700e-03   9.054390e-05
  1.435916e+00   8.129470e-03   9.050602e-05
  1.440802e+00   8.157950e-03   9.021575e-05
  1.445688e+00   8.215370e-03   9.013488e-05
  1.450574e+00   8.055470e-03   8.966563e-05
  1.455459e+00   7.971840e-03   8.889611e-05
  1.460345e+00   7.932420e-03   8.906897e-05
  1.465231e+00   7.802440e-03   8.926773e-05
  1.470117e+00   7.815480e-03   8.829193e-05
  1.475002e+00   7.773490e-03   8.812038e-05
  1.479888e+00   7.623590e-03   8.826554e-05
  1.484774e+00   7.858500e-03   8.793219e-05
  1.489659e+00   7.583280e-03   8.749478e-05
  1.494545e+00   7.418240e-03   8.730482e-05
  1.499431e+00   7.428240e-03   8.760836e-05
  1.504317e+00   7.371240e-03   8.680634e-05
  1.509202e+00   7.523700e-03   8.637628e-05
  1.514088e+00   7.247190e-03   8.647636e-05
  1.518974e+00   7.331310e-03   8.657256e-05
  1.523859e+00   7.206460e-03   8.604901e-05
  1.528745e+00   7.173290e-03   8.550335e-05
  1.533631e+00   6.986680e-03   8.565841e-05
  1.538517e+00   7.028730e-03   8.557063e-05
  1.543402e+00   7.059950e-03   8.485535e-05
  1.548288e+00   7.005350e-03   8.474164e-05
  1.553174e+00   6.954820e-03   8.543558e-05
  1.558060e+00   6.881580e-03   8.474368e-05
  1.562945e+00   6.863300e-03   8.412047e-05
  1.567831e+00   6.792980e-03   8.418341e-05
  1.572717e+00   6.823350e-03   8.443036e-05
  1.577602e+00   6.806920e-03   8.370459e-05
  1.582488e+00   6.739140e-03   8.356479e-05
  1.587374e+00   6.577490e-03   8.356461e-05
  1.592260e+00   6.481210e-03   8.356849e-05
  1.597145e+00   6.536700e-03   8.273920e-05
  1.602031e+00   6.425150e-03   8.287005e-05
  1.606917e+00   6.519110e-03   8.339529e-05
  1.611803e+00   6.412650e-03   8.415988e-05
  1.616688e+00   6.330300e-03   8.434252e-05
  1.621574e+00   6.365180e-03   8.425241e-05
  1.626460e+00   6.229380e-03   8.460826e-05
  1.631345e+00   6.044200e-03   8.389840e-05
  1.636231e+00   6.028550e-03   8.298211e-05
  1.641117e+00   6.106280e-03   8.263601e-05
  1.646003e+00   6.231040e-03   8.297780e-05
  1.650888e+00   6.137970e-03   8.198829e-05
  1.655774e+00   5.916930e-03   8.161621e-05
  1.660660e+00   5.975500e-03   8.181444e-05
  1.665545e+00   5.980460e-03   8.180206e-05
  1.670431e+00   5.949890e-03   8.105560e-05
  1.675317e+00   5.793710e-03   8.126255e-05
  1.680203e+00   5.868600e-03   8.100108e-05
  1.685088e+00   5.899160e-03   8.079516e-05
  1.689974e+00   5.767770e-03   8.015530e-05
  1.694860e+00   5.582540e-03   7.990076e-05
  1.699746e+00   5.606250e-03   7.987082e-05
  1.704631e+00   5.608830e-03   7.977808e-05
  1.709517e+00   5.702780e-03   7.943943e-05
  1.714403e+00   5.555850e-03   7.953427e-05
  1.719288e+00   5.559750e-03   7.959624e-05
  1.724174e+00   5.455980e-03   7.925131e-05
  1.729060e+00   5.425530e-03   7.868283e-05
  1.733946e+00   5.458230e-03   7.914514e-05
  1.738831e+00   5.418090e-03   7.884120e-05
  1.743717e+00   5.320840e-03   7.826843e-05
  1.748603e+00   5.248750e-03   7.834097e-05
  1.753488e+00   5.208180e-03   7.849094e-05
  1.758374e+00   5.377880e-03   7.804855e-05
  1.763260e+00   5.223900e-03   7.798065e-05
  1.768146e+00   5.159810e-03   7.785426e-05
  1.773031e+00   5.144940e-03   7.794963e-05
  1.777917e+00   5.044070e-03   7.723685e-05
  1.782803e+00   4.926930e-03   7.704259e-05
  1.787689e+00   5.184930e-03   7.715983e-05
  1.792574e+00   5.092690e-03   7.722595e-05
  1.797460e+00   5.175300e-03   7.701902e-05
  1.802346e+00   5.039090e-03   7.649712e-05
  1.807231e+00   4.873230e-03   7.670719e-05
  1.812117e+00   4.992020e-03   7.672612e-05
  1.817003e+00   4.961840e-03   7.631654e-05
  1.821889e+00   4.909310e-03   7.590909e-05
  1.826774e+00   4.907400e-03   7.623573e-05
  1.831660e+00   4.881670e-03   7.600919e-05
  1.836546e+00   4.764670e-03   7.550948e-05
  1.841431e+00   4.850430e-03   7.558368e-05
  1.846317e+00   4.652350e-03   7.564115e-05
  1.851203e+00   4.734830e-03   7.529855e-05
  1.856089e+00   4.697030e-03   7.505232e-05
  1.860974e+00   4.622130e-03   7.518541e-05
  1.865860e+00   4.683360e-03   7.500919e-05
  1.870746e+00   4.546490e-03   7.472822e-05
  1.875632e+00   4.589640e-03   7.454847e-05
  1.880517e+00   4.511850e-03   7.494371e-05
  1.885403e+00   4.549990e-03   7.452038e-05
  1.890289e+00   4.577170e-03   7.438061e-05
  1.895174e+00   4.390900e-03   7.450673e-05
  1.900060e+00   4.462990e-03   7.528979e-05
  1.904946e+00   4.403190e-03   7.550440e-05
  1.909832e+00   4.406150e-03   7.516898e-05
  1.914717e+00   4.462230e-03   7.579034e-05
  1.919603e+00   4.361270e-03   7.576431e-05
  1.924489e+00   4.467380e-03   7.560606e-05
  1.929374e+00   4.281270e-03   7.549802e-05
  1.934260e+00   4.376350e-03   7.587506e-05
  1.939146e+00   4.256910e-03   7.580508e-05
  1.944032e+00   4.362350e-03   7.575431e-05
  1.948917e+00   4.172270e-03   7.554605e-05
  1.953803e+00   4.191400e-03   7.587129e-05
  1.958689e+00   4.108590e-03   7.559394e-05
  1.963575e+00   4.119330e-03   7.472753e-05
  1.968460e+00   4.238830e-03   7.435326e-05
  1.973346e+00   4.100530e-03   7.428608e-05
  1.978232e+00   4.063540e-03   7.398259e-05
  1.983117e+00   4.139420e-03   7.364439e-05
  1.988003e+00   3.968520e-03   7.355846e-05
  1.992889e+00   3.982720e-03   7.351564e-05
  1.997775e+00   3.972320e-03   7.314400e-05
  2.002660e+00   4.021680e-03   7.301718e-05
  2.007546e+00   3.986870e-03   7.325942e-05
  2.012432e+00   3.959170e-03   7.276503e-05
  2.017317e+00   3.929340e-03   7.255716e-05
  2.022203e+00   3.889960e-03   7.238028e-05
  2.027089e+00   3.889940e-03   7.254466e-05
  2.031975e+00   3.878610e-03   7.201680e-05
  2.036860e+00   3.780730e-03   7.186333e-05
  2.041746e+00   3.824200e-03   7.222867e-05
  2.046632e+00   3.763980e-03   7.191271e-05
  2.051518e+00   3.836060e-03   7.153041e-05
  2.056403e+00   3.792260e-03   7.130573e-05
  2.061289e+00   3.690200e-03   7.151083e-05
  2.066175e+00   3.739820e-03   7.149446e-05
  2.071060e+00   3.722690e-03   7.146957e-05
  2.075946e+00   3.731980e-03   7.121721e-05
  2.080832e+00   3.676480e-03   7.127135e-05
  2.085718e+00   3.727990e-03   7.072336e-05
  2.090603e+00   3.543810e-03   7.043724e-05
  2.095489e+00   3.645530e-03   7.066703e-05
  2.100375e+00   3.525010e-03   7.063816e-05
  2.105261e+00   3.463440e-03   7.028272e-05
  2.110146e+00   3.509030e-03   6.996344e-05
  2.115032e+00   3.566820e-03   7.008092e-05
  2.119918e+00   3.517530e-03   6.998827e-05
  2.124803e+00   3.564060e-03   7.006873e-05
  2.129689e+00   3.369060e-03   7.057968e-05
  2.134575e+00   3.451410e-03   7.097476e-05
  2.139461e+00   3.400800e-03   7.084440e-05
  2.144346e+00   3.415700e-03   7.131981e-05
  2.149232e+00   3.407030e-03   7.098583e-05
  2.154118e+00   3.501610e-03   7.157455e-05
  2.159003e+00   3.416070e-03   7.122716e-05
  2.163889e+00   3.277030e-03   7.127960e-05
  2.168775e+00   3.308330e-03   7.145531e-05
  2.173661e+00   3.247370e-03   7.143152e-05
  2.178546e+00   3.386250e-03   7.200000e-05
  2.183432e+00   3.171970e-03   7.258035e-05
  2.188318e+00   3.213270e-03   7.338953e-05
  2.193204e+00   3.211870e-03   7.339824e-05
  2.198089e+00   3.125110e-03   7.317436e-05
  2.202975e+00   3.222780e-03   7.359626e-05
  2.207861e+00   3.294050e-03   7.385887e-05
  2.212746e+00   3.178550e-03   7.387391e-05
  2.217632e+00   3.226490e-03   7.419620e-05
  2.222518e+00   3.169120e-03   7.454017e-05
  2.227404e+00   3.290180e-03   7.469171e-05
  2.232289e+00   3.041380e-03   7.439461e-05
  2.237175e+00   3.103530e-03   7.473152e-05
  2.242061e+00   3.136490e-03   7.468399e-05
  2.246946e+00   3.082940e-03   7.520916e-05
  2.251832e+00   3.035270e-03   7.484251e-05
  2.256718e+00   3.004000e-03   7.512820e-05
  2.261604e+00   3.051800e-03   7.545134e-05
  2.266489e+00   3.180210e-03   7.518113e-05
  2.271375e+00   3.053120e-03   7.524098e-05
  2.276261e+00   3.064710e-03   7.573999e-05
  2.281147e+00   2.792190e-03   7.630253e-05
  2.286032e+00   2.940570e-03   7.549790e-05
  2.290918e+00   2.985120e-03   7.575193e-05
  2.295804e+00   2.873080e-03   7.598539e-05
  2.300689e+00   2.827320e-03   7.605416e-05
  2.305575e+00   2.934300e-03   7.613662e-05
  2.310461e+00   2.871560e-03   7.654467e-05
  2.315347e+00   3.095810e-03   7.662400e-05
  2.320232e+00   2.821360e-03   7.623688e-05
  2.325118e+00   2.841540e-03   7.609502e-05
  2.330004e+00   2.771930e-03   7.663912e-05
  2.334889e+00   2.777450e-03   7.725268e-05
  2.339775e+00   2.766360e-03   7.650717e-05
  2.344661e+00   2.764170e-03   7.710317e-05
  2.349547e+00   2.952010e-03   7.720861e-05
  2.354432e+00   2.820010e-03   7.758119e-05
  2.359318e+00   2.788500e-03   7.704701e-05
  2.364204e+00   2.716380e-03   7.777015e-05
  2.369090e+00   2.767000e-03   7.812935e-05
  2.373975e+00   2.786510e-03   7.797402e-05
  2.378861e+00   2.784530e-03   7.746794e-05
  2.383747e+00   2.541490e-03   7.832190e-05
  2.388632e+00   2.677080e-03   7.855739e-05
  2.393518e+00   2.558680e-03   7.805528e-05
  2.398404e+00   2.691210e-03   7.849713e-05
  2.403290e+00   2.728310e-03   7.888536e-05
  2.408175e+00   2.640290e-03   7.908302e-05
  2.413061e+00   2.533720e-03   7.839194e-05
  2.417947e+00   2.714500e-03   7.911385e-05
  2.422832e+00   2.542550e-03   7.945062e-05
  2.427718e+00   2.574880e-03   7.934224e-05
  2.432604e+00   2.524960e-03   7.869824e-05
  2.437490e+00   2.427790e-03   7.892392e-05
  2.442375e+00   2.506470e-03   7.939445e-05
  2.447261e+00   2.515060e-03   7.925387e-05
  2.452147e+00   2.598080e-03   7.909582e-05
  2.457033e+00   2.699320e-03   7.964282e-05
  2.461918e+00   2.442010e-03   7.989069e-05
  2.466804e+00   2.452670e-03   7.920643e-05
  2.471690e+00   2.628640e-03   7.949217e-05
  2.476575e+00   2.471100e-03   7.998933e-05
  2.481461e+00   2.400820e-03   7.977351e-05
  2.486347e+00   2.475120e-03   7.977810e-05
  2.491233e+00   2.414830e-03   8.007153e-05
  2.496118e+00   2.303240e-03   8.021386e-05
  2.501004e+00   2.361200e-03   8.010226e-05
  2.505890e+00   2.544450e-03   7.993089e-05
  2.510775e+00   2.460020e-03   8.036611e-05
  2.515661e+00   2.320460e-03   8.027761e-05
  2.520547e+00   2.301520e-03   8.014845e-05
  2.525433e+00   2.393470e-03   8.041745e-05
  2.530318e+00   2.396450e-03   8.102390e-05
  2.535204e+00   2.219800e-03   8.283060e-05
  2.540090e+00   2.471390e-03   8.287724e-05
  2.544976e+00   2.042040e-03   8.384333e-05
  2.549861e+00   2.296040e-03   8.446429e-05
  2.554747e+00   2.329930e-03   8.415656e-05
  2.559633e+00   2.287770e-03   8.381519e-05
  2.564518e+00   2.266530e-03   8.436759e-05
  2.569404e+00   2.297510e-03   8.485660e-05
  2.574290e+00   2.180440e-03   8.469450e-05
  2.579176e+00   2.310870e-03   8.496897e-05
  2.584061e+00   2.178400e-03   8.552148e-05
  2.588947e+00   1.983990e-03   8.512127e-05
  2.593833e+00   2.127890e-03   8.466118e-05
  2.598719e+00   2.138110e-03   8.481474e-05
  2.603604e+00   2.210020e-03   8.512167e-05
  2.608490e+00   2.140020e-03   8.521121e-05
  2.613376e+00   2.109550e-03   8.448234e-05
  2.618261e+00   1.945050e-03   8.497981e-05
  2.623147e+00   1.996530e-03   8.468103e-05
  2.628033e+00   2.139980e-03   8.483727e-05
  2.632919e+00   2.081270e-03   8.456521e-05
  2.637804e+00   2.064210e-03   8.475823e-05
  2.642690e+00   2.104350e-03   8.505802e-05
  2.647576e+00   2.013460e-03   8.433698e-05
  2.652461e+00   2.240510e-03   8.463451e-05
  2.657347e+00   2.136410e-03   8.466174e-05
  2.662233e+00   2.121440e-03   8.466133e-05
  2.667119e+00   2.075500e-03   8.401098e-05
  2.672004e+00   2.047010e-03   8.465563e-05
